age,job,marital,education,device,day,month,time_spent,banner_views,banner_views_old,days_elapsed_old,outcome_old,X1,X2,X3,X4,y
35,manager,single,grad_school,na,30,5,37.65,1,0,-1,na,0,0,1,0.077932925389937,1
42,manager,married,grad_school,smartphone,17,7,39.25,1,0,-1,na,0,0,1,0.07283968550832531,1
38,industrial_worker,married,university,na,14,5,10.5,2,0,-1,na,0,0,1,0.07607175930129101,0
71,retired,married,high_school,smartphone,13,11,8.8,2,1,98,success,0,0,0,0.09640840339186171,1
37,unemployed,single,university,desktop,27,4,20.8,2,3,179,other,0,0,0,0.0975160241860803,1
26,industrial_worker,married,university,smartphone,17,7,57,3,0,-1,na,1,0,1,0.07270350262379024,1
27,salesman,married,university,na,30,6,3.75,5,0,-1,na,0,0,1,0.07744266700561074,0
28,industrial_worker,married,university,smartphone,7,5,10.8,1,1,339,other,0,0,1,0.0811740780418717,0
57,retired,married,grad_school,na,26,5,7.35,5,0,-1,na,0,0,0,0.07405625261017196,0
44,manager,married,na,smartphone,28,12,44.15,1,0,-1,na,0,0,0,0.0975341819040183,1
34,manager,single,grad_school,smartphone,12,8,8.4,1,0,-1,na,0,0,1,0.10620449221941787,0
26,industrial_worker,single,grad_school,smartphone,2,12,16.8,1,0,-1,na,0,0,0,0.07865015524848837,1
33,teacher,divorced,university,smartphone,6,5,11.7,1,3,359,failure,0,1,1,0.07263995061100721,0
39,industrial_worker,married,na,na,28,5,3.65,2,0,-1,na,1,0,1,0.07859568209467434,0
37,manager,married,grad_school,smartphone,3,11,6.95,1,0,-1,na,0,0,0,0.07496413850707243,1
32,teacher,single,na,smartphone,3,2,7.95,2,0,-1,na,0,0,0,0.07637136164726817,0
40,technology,married,university,smartphone,16,10,21.85,1,5,147,failure,0,0,0,0.09337606449621412,1
34,industrial_worker,married,university,na,8,5,3.05,2,0,-1,na,0,0,1,0.0739745428794509,0
26,manager,single,grad_school,smartphone,22,4,19.85,2,0,-1,na,0,0,0,0.07456466871243622,1
33,industrial_worker,single,grad_school,smartphone,30,4,7.95,1,2,80,success,0,0,0,0.07915857135075263,1
53,technology,divorced,high_school,smartphone,8,7,6,1,0,-1,na,1,0,1,0.06523160169229932,0
22,salesman,single,university,na,13,5,3,1,0,-1,na,0,0,1,0.07638951936520619,0
40,industrial_worker,divorced,university,smartphone,29,1,5.55,1,1,245,failure,0,0,1,0.07365678281553574,0
34,manager,married,grad_school,smartphone,17,7,5.4,2,0,-1,na,0,0,1,0.1176801699562399,0
31,manager,divorced,grad_school,smartphone,18,8,78.3,8,0,-1,na,0,0,0,0.07510940025057651,1
36,teacher,single,university,smartphone,16,4,11.7,1,0,-1,na,0,0,1,0.08564087665462204,0
32,teacher,married,university,smartphone,6,5,25.45,2,5,166,failure,0,0,1,0.07963067201714089,1
25,student,single,university,smartphone,10,8,11.75,1,0,-1,na,0,0,0,0.07596281299366296,1
34,manager,single,grad_school,smartphone,26,5,9.35,2,1,98,other,1,0,1,0.07280337007244929,0
59,entrepreneur,married,university,smartphone,22,10,36.4,3,1,183,success,0,0,0,0.07730648412107566,1
29,manager,single,grad_school,smartphone,13,5,13,1,0,-1,na,0,0,0,0.07255824088028616,1
29,manager,single,grad_school,smartphone,8,7,47.9,1,5,87,failure,0,0,0,0.07736095727488969,1
60,retired,married,university,smartphone,15,7,48.55,1,0,-1,na,0,0,0,0.07822344887694514,1
57,technology,divorced,grad_school,desktop,4,6,7.8,2,0,-1,na,0,0,0,0.0739473063025439,1
36,technology,married,grad_school,na,16,5,17.5,1,0,-1,na,0,0,1,0.07446480126377716,0
22,student,single,university,smartphone,13,7,16.35,1,2,181,success,0,0,0,0.07344796905924864,1
48,manager,married,grad_school,smartphone,18,11,33.3,1,0,-1,na,0,0,0,0.09337606449621412,1
31,teacher,single,university,na,12,5,6.1,1,0,-1,na,1,0,1,0.07398362173841992,0
49,technology,married,university,smartphone,9,12,42.2,1,0,-1,na,0,0,0,0.07559057977593377,1
23,industrial_worker,single,university,na,4,6,31.4,1,0,-1,na,0,0,1,0.07727016868519965,1
52,industrial_worker,married,university,smartphone,8,5,23.4,1,0,-1,na,0,0,1,0.07618070560891907,0
46,technology,married,grad_school,smartphone,29,7,9.9,2,0,-1,na,1,0,1,0.07760608646705282,0
46,manager,married,grad_school,smartphone,15,9,97.6,1,3,105,failure,0,0,1,0.0752818985709876,1
36,industrial_worker,single,high_school,na,21,5,3.85,14,0,-1,na,0,0,1,0.07298494725182939,0
42,technology,married,university,smartphone,20,8,6.65,4,0,-1,na,0,0,0,0.07491874421222741,0
30,manager,single,grad_school,smartphone,27,5,5.45,1,1,98,success,0,0,0,0.12145697528734589,1
38,salesman,married,university,smartphone,2,2,8.6,1,0,-1,na,1,0,0,0.07007063352277886,0
22,student,single,university,smartphone,6,2,10.95,6,0,-1,na,0,0,0,0.07280337007244929,1
35,teacher,single,university,smartphone,5,2,5,1,0,-1,na,0,0,0,0.08267208977175748,0
